subject,action,score
S01,squat,25.013565028312577
S02,squat,46.3948797318767
S03,squat,83.84898336993515
S04,squat,12.416997279889529
S05,squat,86.63752643794274
S06,squat,26.937409624768407
S07,squat,88.17317668118889
S08,squat,56.163407152865034
S09,squat,73.81927227382168
S10,squat,36.59498266127089
S11,squat,37.61394928332371
S12,squat,81.05070752875534
S13,squat,95.28554139429167
S14,squat,93.41511845061706
S15,squat,27.893466126724967
S16,squat,0.0
S17,squat,51.06970307113268
S18,squat,91.14047410411197
S19,squat,60.63512805614073
S20,squat,96.47109646527383
S21,squat,63.95591931180991
S22,squat,91.75378911585872
S23,squat,0.0
S24,squat,25.019073260433174
S25,squat,96.44165577161573
S26,squat,2.40778594351832
S27,squat,73.47433348981326
S28,squat,33.76675813582695
S29,squat,0.0
S30,squat,66.29907451826205
S31,squat,9.61333488282412
S32,squat,74.36976312098379
S33,squat,53.85267010081217
S34,squat,80.62306168523821
S35,squat,71.40378460666284
S36,squat,96.50960981673288
S37,squat,4.098573555300987
S38,squat,20.881445449041472
S39,squat,0.0
S40,squat,77.25672411228022
S01,lunge_left,91.25142240541842
S02,lunge_left,95.85436558228781
S03,lunge_left,62.462236645054794
S04,lunge_left,47.36996903160821
S05,lunge_left,33.92777079649845
S06,lunge_left,80.98243932689365
S07,lunge_left,93.09747225816781
S08,lunge_left,86.46007925988718
S09,lunge_left,51.895234403187224
S10,lunge_left,92.51262517053587
S11,lunge_left,84.04937348175176
S12,lunge_left,90.21163233080938
S13,lunge_left,76.43423184627791
S14,lunge_left,93.65266736066172
S15,lunge_left,36.00614998828837
S16,lunge_left,51.93467917142883
S17,lunge_left,81.12389546769128
S18,lunge_left,74.74648163602812
S19,lunge_left,98.66524220797592
S20,lunge_left,94.99399716722269
S21,lunge_left,59.414460982153216
S22,lunge_left,81.33710417374274
S23,lunge_left,73.68055630057711
S24,lunge_left,63.16205903255643
S25,lunge_left,92.61567365537095
S26,lunge_left,84.70853233775145
S27,lunge_left,88.62291339393863
S28,lunge_left,92.66400813177944
S29,lunge_left,95.65164263139832
S30,lunge_left,68.76419776673106
S31,lunge_left,88.60374821150191
S32,lunge_left,83.71726784976002
S33,lunge_left,82.46931391426787
S34,lunge_left,99.78645014035666
S35,lunge_left,76.83191420649818
S36,lunge_left,90.99381411451529
S37,lunge_left,24.959632662774695
S38,lunge_left,57.656468634368665
S39,lunge_left,66.2891955422851
S40,lunge_left,97.52362689065299
S01,lunge_right,90.12498454587356
S02,lunge_right,84.48189885612862
S03,lunge_right,53.775858277387215
S04,lunge_right,32.776619852672525
S05,lunge_right,29.082377479801416
S06,lunge_right,52.28642361084121
S07,lunge_right,78.64356308347976
S08,lunge_right,66.79286364100297
S09,lunge_right,61.93503765788701
S10,lunge_right,80.8519955897905
S11,lunge_right,93.32245190431328
S12,lunge_right,78.65811809323831
S13,lunge_right,37.364278782988166
S14,lunge_right,80.85101934349333
S15,lunge_right,52.08245938973782
S16,lunge_right,68.3086490084656
S17,lunge_right,79.2417060044642
S18,lunge_right,94.59665545236734
S19,lunge_right,84.07505289487142
S20,lunge_right,54.46000418808342
S21,lunge_right,84.16979829858508
S22,lunge_right,97.27158122094016
S23,lunge_right,92.26597285236926
S24,lunge_right,96.47172820173282
S25,lunge_right,90.01194734431508
S26,lunge_right,76.49603062437048
S27,lunge_right,29.56243953599983
S28,lunge_right,95.44404245319694
S29,lunge_right,99.45118721178926
S30,lunge_right,76.08377758395982
S31,lunge_right,87.332395064391
S32,lunge_right,0.0
S33,lunge_right,13.809951508047675
S34,lunge_right,97.5044329939947
S35,lunge_right,83.92499775933908
S36,lunge_right,86.27601726830434
S37,lunge_right,18.613678529974287
S38,lunge_right,89.57819292144572
S39,lunge_right,75.17799174973395
S40,lunge_right,91.16607998504506
S01,limb_extension_left,95.92415296398286
S02,limb_extension_left,87.73148040239897
S03,limb_extension_left,95.84756026810518
S04,limb_extension_left,93.55894619294924
S05,limb_extension_left,93.17292842883
S06,limb_extension_left,91.69216828351824
S07,limb_extension_left,92.8161848560062
S08,limb_extension_left,96.58840600641143
S09,limb_extension_left,90.72859663567806
S10,limb_extension_left,99.14802450480566
S11,limb_extension_left,96.80826305261577
S12,limb_extension_left,95.35072611747631
